league,season,md,source,player_key,player_id,player,team,position,jersey,birth_year,u21_born_from,apps,minutes,starts,sub_in,sub_out,goals,own_goals,assists,penalties,yellows,reds_direct,reds_second_yellow,report_minutes,team_points,team_matches
UPL,2025/26,3,reports,043871M06,043871M06,Godfrey Sekibengo,URA,,30,2006.0,2004-01-01,1,40,0,1,0,0,,,,0,0,0,40.0,1.0,1.0
UPL,2025/26,3,reports,043298M06,043298M06,John Innocent Kisolo,URA,,26,2006.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
UPL,2025/26,3,reports,063673M06,063673M06,Nyarwa Bitanywaine Olimi,URA,,22,2006.0,2004-01-01,1,8,0,1,0,0,,,,0,0,0,8.0,1.0,1.0
UPL,2025/26,3,reports,031869M04,031869M04,Hassan Mubiru,VILLA,,26,2004.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,1.0,1.0
UPL,2025/26,3,reports,064911M06,064911M06,Merickzedek Mangeni,VILLA,,30,2006.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
UPL,2025/26,3,reports,039141M07,039141M07,Raymon Barasa Mangoli,VILLA,,27,2007.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,1.0,1.0
UPL,2025/26,4,reports,025115M04,025115M04,John Bosco Sempijja,BUHIMBA,,30,2004.0,2004-01-01,1,21,0,1,0,0,,,,0,0,0,21.0,0.0,1.0
UPL,2025/26,4,reports,056450M05,056450M05,Lucas Mola,BUHIMBA,,29,2005.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,1.0
UPL,2025/26,4,reports,048868M06,048868M06,Denis Ssewagudde,BUL,,25,2006.0,2004-01-01,1,60,1,0,1,0,,,,0,0,0,60.0,3.0,1.0
UPL,2025/26,4,reports,038683M06,038683M06,Lwenda Sowedi,BUL,,28,2006.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,3.0,1.0
UPL,2025/26,4,reports,045395M05,045395M05,Simon Achidi,BUL,,30,2005.0,2004-01-01,1,30,0,1,0,0,,,,0,0,0,30.0,3.0,1.0
UPL,2025/26,4,reports,001111M04,001111M04,Allan Kiggundu,CALVARY,,28,2004.0,2004-01-01,1,26,0,1,0,0,,,,0,0,0,26.0,1.0,1.0
UPL,2025/26,4,reports,064234M05,064234M05,Andrew Kiwanuka,CALVARY,,29,2005.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,1.0,1.0
UPL,2025/26,4,reports,033958M06,033958M06,Junior Emmanuel Ojok,CALVARY,,30,2006.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,1.0,1.0
UPL,2025/26,4,reports,058076M06,058076M06,Mubaraka Mitala,CALVARY,,25,2006.0,2004-01-01,1,9,0,1,0,0,,,,0,0,0,9.0,1.0,1.0
UPL,2025/26,4,reports,027001M05,027001M05,Charles Okello Batiibwe,ENTEBBE,,27,2005.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,3.0,1.0
UPL,2025/26,4,reports,051245M05,051245M05,Fazil Tumwine,ENTEBBE,,9,2005.0,2004-01-01,1,81,1,0,1,0,,,,0,0,0,81.0,3.0,1.0
UPL,2025/26,4,reports,024771M04,024771M04,Issa Bugembe,ENTEBBE,,17,2004.0,2004-01-01,1,90,1,0,0,0,,,,1,0,0,90.0,3.0,1.0
UPL,2025/26,4,reports,040860M05,040860M05,Yusuf Bogere,ENTEBBE,,26,2005.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,3.0,1.0
UPL,2025/26,4,reports,065960M08,065960M08,Alli Ismael,EXPRESS,,4,2008.0,2004-01-01,1,14,0,1,0,0,,,,0,0,0,14.0,0.0,1.0
UPL,2025/26,4,reports,063477M06,063477M06,Elvis Ssekajjugo,EXPRESS,,30,2006.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,1.0
UPL,2025/26,4,reports,033032M07,033032M07,Hakim Wandera,EXPRESS,,3,2007.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,0.0,1.0
UPL,2025/26,4,reports,058018M05,058018M05,Isa Glory Kisuule,EXPRESS,,29,2005.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,0.0,1.0
UPL,2025/26,4,reports,035993M06,035993M06,Khasim Mustapha,EXPRESS,,26,2006.0,2004-01-01,1,58,1,0,1,0,,,,0,0,0,58.0,0.0,1.0
