game,md,team,opponent,venue,gf,ga,gd,result,points,was_ahead,was_behind,points_from_losing,points_dropped_from_winning,win_from_behind,draw_from_behind,loss_from_ahead,draw_from_ahead
MBARARA-VS-ENTEBBE,9,ENTEBBE,MBARARA,away,1,1,0,D,1,False,True,1,0,False,True,False,False
MBARARA-VS-ENTEBBE,9,MBARARA,ENTEBBE,home,1,1,0,D,1,True,False,0,2,False,False,False,True
NEC-VS-VIPERS,9,VIPERS,NEC,away,1,1,0,D,1,False,True,1,0,False,True,False,False
NEC-VS-VIPERS,9,NEC,VIPERS,home,1,1,0,D,1,True,False,0,2,False,False,False,True
POLICE-VS-BUHIMBA,9,BUHIMBA,POLICE,away,0,4,-4,L,0,False,True,0,0,False,False,False,False
POLICE-VS-BUHIMBA,9,POLICE,BUHIMBA,home,4,0,4,W,3,True,False,0,0,False,False,False,False
UPDF-VS-LUGAZI,9,LUGAZI,UPDF,away,0,2,-2,L,0,False,True,0,0,False,False,False,False
UPDF-VS-LUGAZI,9,UPDF,LUGAZI,home,2,0,2,W,3,True,False,0,0,False,False,False,False
URA-VS-KITARA,9,KITARA,URA,away,1,0,1,W,3,True,False,0,0,False,False,False,False
URA-VS-KITARA,9,URA,KITARA,home,0,1,-1,L,0,False,True,0,0,False,False,False,False
VIPERS-VS-UPDF,9,UPDF,VIPERS,away,1,5,-4,L,0,False,True,0,0,False,False,False,False
VIPERS-VS-UPDF,9,VIPERS,UPDF,home,5,1,4,W,3,True,False,0,0,False,False,False,False
BUHIMBA-VS-UPDF,10,UPDF,BUHIMBA,away,2,2,0,D,1,True,False,0,2,False,False,False,True
BUHIMBA-VS-UPDF,10,BUHIMBA,UPDF,home,2,2,0,D,1,False,True,1,0,False,True,False,False
CALVARY-VS-MBARARA,10,MBARARA,CALVARY,away,0,0,0,D,1,False,False,0,0,False,False,False,False
CALVARY-VS-MBARARA,10,CALVARY,MBARARA,home,0,0,0,D,1,False,False,0,0,False,False,False,False
CALVARY-VS-VIPERS,10,VIPERS,CALVARY,away,0,0,0,D,1,False,False,0,0,False,False,False,False
CALVARY-VS-VIPERS,10,CALVARY,VIPERS,home,0,0,0,D,1,False,False,0,0,False,False,False,False
ENTEBBE-VS-EXPRESS,10,EXPRESS,ENTEBBE,away,0,2,-2,L,0,False,True,0,0,False,False,False,False
ENTEBBE-VS-EXPRESS,10,ENTEBBE,EXPRESS,home,2,0,2,W,3,True,False,0,0,False,False,False,False
KCCA-VS-NEC,10,NEC,KCCA,away,1,2,-1,L,0,False,True,0,0,False,False,False,False
