game,player,team,caution,min,added_time,double-caution,md
VIPERS-vs-UPDF,Tadeo Lwanga,VIPERS,yellow,62,no,No,9
POLICE-vs-BUHIMBA,Charles Kyomuhendo,BUHIMBA,yellow,35,no,No,9
POLICE-vs-BUHIMBA,Emmanuel Mugume,POLICE,yellow,72,no,No,9
POLICE-vs-BUHIMBA,Brian James Obedi,POLICE,yellow,82,no,No,9
POLICE-vs-BUHIMBA,Derick Byabacwezi,BUHIMBA,yellow,82,no,No,9
POLICE-vs-BUHIMBA,Hussein Mwanje,BUHIMBA,yellow,90(+2),yes,No,9
MBARARA-vs-ENTEBBE,Hassan Ssenyonjo,ENTEBBE,yellow,65,no,No,9
MBARARA-vs-ENTEBBE,Marvin Mukiibi,ENTEBBE,yellow,90,no,No,9
UPDF-vs-LUGAZI,Ayiko Richard,LUGAZI,yellow,1,no,No,9
UPDF-vs-LUGAZI,Alfred Leku,LUGAZI,yellow,13,no,No,9
UPDF-vs-LUGAZI,Paul Wasswa,LUGAZI,yellow,56,no,No,9
UPDF-vs-LUGAZI,Paul Wasswa,LUGAZI,yellow,68,no,yes,9
NEC-vs-VIPERS,Joseph Seremba,NEC,yellow,50,no,No,9
NEC-vs-VIPERS,Paul Mucureezi,NEC,yellow,63,no,No,9
NEC-vs-VIPERS,Warren Buule,NEC,yellow,67,no,No,9
NEC-vs-VIPERS,Hilary Panuel Mukundane,VIPERS,yellow,89,no,No,9
EXPRESS-vs-CALVARY,Milton Afema,CALVARY,yellow,89,no,No,9
URA-vs-KITARA,Edward Namaasa,KITARA,yellow,58,no,No,9
URA-vs-KITARA,Moses Okabo Aliro,URA,yellow,63,no,No,9
URA-vs-KITARA,Isaac Doka Mweru,KITARA,yellow,67,no,No,9
URA-vs-KITARA,Justine Opiro,URA,yellow,83,no,No,9
URA-vs-KITARA,Living Kabon,URA,yellow,90(+2),yes,No,9
MAROONS-vs-VILLA,JAMAL SSEMWOGERERE,MAROONS,yellow,26,no,No,9
MAROONS-vs-VILLA,Brian Nkuubi,MAROONS,yellow,31,no,No,9
MAROONS-vs-VILLA,Simon Tamale,MAROONS,yellow,39,no,No,9
MAROONS-vs-VILLA,Geoffrey Lubanga Kene,Villa,yellow,39,no,No,9
MAROONS-vs-VILLA,Simon Kato Ssemayange,Villa,yellow,49,no,No,9
